record_id,case_id,source_stratum,historical_selection_cohort,title,url_check_status,source_relationship,retained_material_primary_class,fields_with_incident_narrative,manual_adjudication,class_source_excerpt,class_evidence_excerpt_v25,class_reverification_excerpt,class_v29_exposure_excerpt,class_v29_follow_up_excerpt,class_v29_closure_excerpt,recorded_supported_components_of_14,recorded_evidence_excerpt_nonempty_of_14,reading_of_zero,non_recovery_cause_status
V25R051,OECD01,OECD AIM,inherited_v21_v16_baseline,"San Francisco Robotaxi Backlash: AI Vehicles Face Public Protest, Vandalism, and Safety Co",HTTP_200,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + headline (b),meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,non_incident_prose,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R052,OECD02,OECD AIM,inherited_v21_v16_baseline,WHO Warns of AI Risks in Healthcare Amid Regulatory Gaps in Europe - OECD.AI,HTTP_200,regulatory_or_official,no_incident_narrative,none,no narrative - headline (b) + taxonomy (a) + hazard rationale (c),meta_note,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R053,OECD03,OECD AIM,inherited_v21_v16_baseline,Waymo Autonomous Taxi Disrupts London Crime Scene During Testing - OECD.AI,HTTP_200,registry_derived,incident_narrative,v29_follow_up_excerpt; v29_closure_excerpt,narrative (d) - taxi entered crime scene; zero defensible,meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,incident_narrative,incident_narrative,0,0,not_recovered,indeterminate_from_retained_bundle
V25R054,OECD04,OECD AIM,inherited_v21_v16_baseline,AI Genetic Risk Prediction Raises Privacy and Healthcare Access Concerns - OECD.AI,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,partial narrative (d) - summary of what the article states,meta_note,incident_narrative,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,0,0,not_recovered,indeterminate_from_retained_bundle
V25R055,OECD05,OECD AIM,inherited_v21_v16_baseline,Retailers Secretly Use Facial Recognition AI to Track Shoppers Without Consent - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - headlines (b) + taxonomy (a),meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R056,OECD06,OECD AIM,inherited_v21_v16_baseline,Automakers Advance 'Eyes-Off' AI Driving Amid Safety and Liability Concerns - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,"no narrative - taxonomy (a) only, all three fields",meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R057,OECD07,OECD AIM,inherited_v21_v16_baseline,Study Reveals AI Bias in Healthcare Treatment Recommendations - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + headline (b),meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R058,OECD08,OECD AIM,inherited_v21_v16_baseline,ICE Deploys AI-Powered Facial Recognition App for Field Identification - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,"no narrative - taxonomy (a) only, all three fields",meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R059,OECD09,OECD AIM,inherited_v21_v16_baseline,Scientists Warn AI in Healthcare May Worsen Ethnic Minority Inequalities - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + hazard rationale (c),meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R060,OECD10,OECD AIM,inherited_v21_v16_baseline,AI-Generated Medical Information Risks Inaccuracy in Patient Care - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - headline (b) + taxonomy (a),meta_note,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R081,OECD01,OECD AIM,oecd_aim_addition,Iranian Health Officials Warn of AI-Driven Digital Self-Medication Risks - OECD.AI,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt,no narrative - taxonomy (a) + Persian headline (b),incident_narrative,incident_narrative,incident_narrative,chrome_or_metadata_only,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R082,OECD02,OECD AIM,oecd_aim_addition,AI-Generated Deepfake Video Targets Italian Political Leaders - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - Italian headline (b) + taxonomy (a),non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R083,OECD03,OECD AIM,oecd_aim_addition,Anthropic Raises AI Misalignment and Cybersecurity Risk in Latest Model Report - OECD.AI,HTTP_404,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + AIM site/disclaimer text,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,site_disclaimer,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R084,OECD04,OECD AIM,oecd_aim_addition,ChatGPT Alerts Authorities to Suspected Child Harm Plot in Brazil - OECD.AI,HTTP_404,registry_derived,no_incident_narrative,none,"narrative (d) - OpenAI alerted authorities, arrest followed",non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,0,0,not_recovered,indeterminate_from_retained_bundle
V25R085,OECD05,OECD AIM,oecd_aim_addition,Facial Recognition at Madison Square Garden Sparks Privacy Backlash and Legislative Action,HTTP_404,registry_derived,no_incident_narrative,none,"no narrative - taxonomy (a) only, all three fields",non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R086,OECD06,OECD AIM,oecd_aim_addition,US AI Models Exhibit Censorship and Bias on Authoritarian Topics - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + Chinese headline (b),non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R087,OECD07,OECD AIM,oecd_aim_addition,Indian Teen Uses AI-Generated Images to Fake Kidnapping for Ransom - OECD.AI,HTTP_200,registry_derived,incident_narrative,v29_exposure_excerpt; v29_closure_excerpt,"no narrative - headlines (b) only, no article content",non_incident_prose,non_incident_prose,non_incident_prose,incident_narrative,chrome_or_metadata_only,incident_narrative,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R088,OECD08,OECD AIM,oecd_aim_addition,North Korean IT Workers Use AI for Fraudulent Remote Employment in US and UK - OECD.AI,HTTP_404,registry_derived,no_incident_narrative,none,"no narrative - taxonomy (a) only, all three fields",non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R089,OECD09,OECD AIM,oecd_aim_addition,Plaintiff Sanctioned for Attempted AI Prompt Injection in Connecticut Court - OECD.AI,HTTP_404,registry_derived,incident_narrative,v29_closure_excerpt,narrative (d) - court sanction described; CANDIDATE FALSE NEGATIVE,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,incident_narrative,0,0,not_recovered,indeterminate_from_retained_bundle
V25R090,OECD10,OECD AIM,oecd_aim_addition,Uber and Hinomaru Kotsu Partner for Tokyo Robotaxi Pilot Using AI Technology - OECD.AI,HTTP_404,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + hazard rationale (c),non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
