field,component,definition,exclusion_rule
exposure,unit,the unit whose exposure opportunity is described,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
exposure,eligibility,the rule defining entry to the opportunity set,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
exposure,time_origin,the anchor from which exposure opportunity is counted,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
exposure,coverage,the extent of the eligible set that is represented,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
follow_up,calendar_interval,a bounded later-observation interval,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
follow_up,exposure_qualified_observation,a later observation tied to qualified exposure,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
follow_up,trace_coverage,coverage of logs or observation channels,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
follow_up,owner,the responsible monitoring or disposition role,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
closure,scope,the matter covered by the final disposition,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
closure,evidence_basis,the evidence supporting the final disposition,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
closure,date,the effective disposition date,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
closure,owner,the responsible monitoring or disposition role,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
closure,uncertainty,unresolved matters retained at disposition,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
closure,reopening_rule,the trigger or procedure for reopening,Do not count: page navigation; advertisements; recommended or related links; headers and footers; unrelated sidebars; generic framework or policy text; taxonomy or classification tag blocks; the same words used in a sense unrelated to the target event; headlines of external articles where only the headline and not the article content is retained.
