item_id,record_id_real,field,component
ITEM_0001,V25R021,closure,evidence_basis
ITEM_0002,V25R024,closure,evidence_basis
ITEM_0003,V25R017,follow_up,trace_coverage
ITEM_0004,V25R014,closure,date
ITEM_0005,V25R043,exposure,coverage
ITEM_0006,V25R076,exposure,unit
ITEM_0007,V25R005,closure,evidence_basis
ITEM_0008,V25R075,follow_up,exposure_qualified_observation
ITEM_0009,V25R048,exposure,eligibility
ITEM_0010,V25R035,follow_up,exposure_qualified_observation
ITEM_0011,V25R094,follow_up,owner
ITEM_0012,V25R098,closure,uncertainty
ITEM_0013,V25R058,closure,date
ITEM_0014,V25R057,closure,evidence_basis
ITEM_0015,V25R029,exposure,coverage
ITEM_0016,V25R051,follow_up,calendar_interval
ITEM_0017,V25R065,follow_up,calendar_interval
ITEM_0018,V25R071,closure,scope
ITEM_0019,V25R070,closure,scope
ITEM_0020,V25R024,closure,scope
ITEM_0021,V25R057,exposure,eligibility
ITEM_0022,V25R018,closure,owner
ITEM_0023,V25R064,closure,reopening_rule
ITEM_0024,V25R052,closure,evidence_basis
ITEM_0025,V25R029,closure,owner
ITEM_0026,V25R035,follow_up,calendar_interval
ITEM_0027,V25R007,closure,uncertainty
ITEM_0028,V25R025,closure,evidence_basis
ITEM_0029,V25R002,closure,owner
ITEM_0030,V25R063,follow_up,owner
ITEM_0031,V25R017,closure,owner
ITEM_0032,V25R018,exposure,time_origin
ITEM_0033,V25R005,follow_up,trace_coverage
ITEM_0034,V25R039,exposure,eligibility
ITEM_0035,V25R027,exposure,time_origin
ITEM_0036,V25R096,exposure,eligibility
ITEM_0037,V25R033,follow_up,trace_coverage
ITEM_0038,V25R076,exposure,eligibility
ITEM_0039,V25R003,closure,owner
ITEM_0040,V25R091,closure,owner
ITEM_0041,V25R080,exposure,time_origin
ITEM_0042,V25R005,closure,uncertainty
ITEM_0043,V25R012,closure,reopening_rule
ITEM_0044,V25R029,closure,reopening_rule
ITEM_0045,V25R053,exposure,time_origin
ITEM_0046,V25R031,follow_up,trace_coverage
ITEM_0047,V25R083,follow_up,trace_coverage
ITEM_0048,V25R097,closure,reopening_rule
ITEM_0049,V25R086,exposure,time_origin
ITEM_0050,V25R037,closure,date
ITEM_0051,V25R055,closure,evidence_basis
ITEM_0052,V25R015,exposure,time_origin
ITEM_0053,V25R064,exposure,unit
ITEM_0054,V25R020,exposure,coverage
ITEM_0055,V25R061,closure,scope
ITEM_0056,V25R062,follow_up,calendar_interval
ITEM_0057,V25R083,closure,owner
ITEM_0058,V25R059,follow_up,owner
ITEM_0059,V25R095,closure,date
ITEM_0060,V25R040,follow_up,trace_coverage
ITEM_0061,V25R019,closure,owner
ITEM_0062,V25R082,follow_up,exposure_qualified_observation
ITEM_0063,V25R015,follow_up,owner
ITEM_0064,V25R071,closure,uncertainty
ITEM_0065,V25R084,closure,scope
ITEM_0066,V25R054,closure,reopening_rule
ITEM_0067,V25R066,follow_up,calendar_interval
ITEM_0068,V25R012,closure,evidence_basis
ITEM_0069,V25R071,exposure,time_origin
ITEM_0070,V25R019,closure,reopening_rule
ITEM_0071,V25R042,exposure,coverage
ITEM_0072,V25R035,closure,date
ITEM_0073,V25R078,follow_up,exposure_qualified_observation
ITEM_0074,V25R035,closure,owner
ITEM_0075,V25R047,closure,uncertainty
ITEM_0076,V25R051,closure,evidence_basis
ITEM_0077,V25R046,exposure,eligibility
ITEM_0078,V25R083,follow_up,owner
ITEM_0079,V25R068,exposure,eligibility
ITEM_0080,V25R077,closure,evidence_basis
ITEM_0081,V25R062,closure,scope
ITEM_0082,V25R027,closure,scope
ITEM_0083,V25R085,follow_up,trace_coverage
ITEM_0084,V25R010,follow_up,owner
ITEM_0085,V25R030,exposure,time_origin
ITEM_0086,V25R096,follow_up,owner
ITEM_0087,V25R016,exposure,coverage
ITEM_0088,V25R080,follow_up,owner
ITEM_0089,V25R055,closure,uncertainty
ITEM_0090,V25R040,closure,evidence_basis
ITEM_0091,V25R080,follow_up,trace_coverage
ITEM_0092,V25R036,closure,scope
ITEM_0093,V25R076,closure,reopening_rule
ITEM_0094,V25R017,exposure,eligibility
ITEM_0095,V25R036,closure,owner
ITEM_0096,V25R097,exposure,coverage
ITEM_0097,V25R089,closure,evidence_basis
ITEM_0098,V25R005,follow_up,owner
ITEM_0099,V25R004,closure,reopening_rule
ITEM_0100,V25R069,follow_up,calendar_interval
ITEM_0101,V25R037,exposure,unit
ITEM_0102,V25R017,exposure,coverage
ITEM_0103,V25R084,closure,uncertainty
ITEM_0104,V25R025,exposure,coverage
ITEM_0105,V25R078,follow_up,trace_coverage
ITEM_0106,V25R030,follow_up,trace_coverage
ITEM_0107,V25R014,follow_up,trace_coverage
ITEM_0108,V25R077,follow_up,exposure_qualified_observation
ITEM_0109,V25R017,follow_up,calendar_interval
ITEM_0110,V25R026,closure,scope
ITEM_0111,V25R002,exposure,unit
ITEM_0112,V25R035,exposure,time_origin
ITEM_0113,V25R035,follow_up,owner
ITEM_0114,V25R080,closure,owner
ITEM_0115,V25R098,closure,scope
ITEM_0116,V25R034,follow_up,owner
ITEM_0117,V25R084,follow_up,exposure_qualified_observation
ITEM_0118,V25R040,follow_up,owner
ITEM_0119,V25R054,follow_up,owner
ITEM_0120,V25R070,closure,date
ITEM_0121,V25R092,closure,date
ITEM_0122,V25R043,follow_up,owner
ITEM_0123,V25R021,exposure,unit
ITEM_0124,V25R094,exposure,coverage
