record_id,case_id,legacy_case_id,incident_cluster_id,title,field,field_label,applicability,v2_state,v3_primary_state,v3_boundary_inclusive_state,new_state,primary_supported_components,boundary_inclusive_supported_components,boundary_components,primary_component_count,boundary_inclusive_component_count,source_url,source_locator,source_snapshot,source_hash,url_status,source_relationship,source_provenance_status,v3_analysis_note,v4_primary_state,v4_boundary_state,v4_minimal_core_state,v4_state_rule,v4_analysis_note,legacy_v4_primary_state,legacy_v4_boundary_state,v5_primary_state,v5_boundary_state,v5_primary_state_label,v5_boundary_state_label,v5_state_definition,v5_review_method,inherited_incident_cluster_id,canonical_cluster_id,v6_primary_state,v6_boundary_state,v6_state_definition,non_recovery_cause_status
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,exposure,Exposure opportunity framework,applicable,partial,partial,partial,partial,['unit'],['unit'],[],1,1,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,partial,partial,partial,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,partial,partial,partial_support,partial_support,Partial support,Partial support,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,8,CL001,partial_support,partial_support,retained-documentation recoverability under author-defined rules; not organizational practice,
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,follow_up,Follow-up window,applicable,absent,absent,absent,absent,[],[],[],0,0,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,absent,absent,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,absent,absent,not_recovered,not_recovered,Not recovered,Not recovered,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,8,CL001,not_recovered,not_recovered,retained-documentation recoverability under author-defined rules; not organizational practice,indeterminate_from_retained_bundle
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,closure,Closure basis,applicable,absent,absent,absent,absent,[],[],[],0,0,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,absent,absent,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,absent,absent,not_recovered,not_recovered,Not recovered,Not recovered,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,8,CL001,not_recovered,not_recovered,retained-documentation recoverability under author-defined rules; not organizational practice,indeterminate_from_retained_bundle
V25R002,AIID02,AIID02,CL002,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto",exposure,Exposure opportunity framework,applicable,partial,partial,partial,partial,"['unit', 'coverage']","['unit', 'coverage']",[],2,2,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,partial,partial,partial,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,partial,partial,partial_support,partial_support,Partial support,Partial support,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,25,CL002,partial_support,partial_support,retained-documentation recoverability under author-defined rules; not organizational practice,
V25R002,AIID02,AIID02,CL002,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto",follow_up,Follow-up window,applicable,absent,absent,absent,absent,[],[],[],0,0,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,absent,absent,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,absent,absent,not_recovered,not_recovered,Not recovered,Not recovered,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,25,CL002,not_recovered,not_recovered,retained-documentation recoverability under author-defined rules; not organizational practice,indeterminate_from_retained_bundle
V25R002,AIID02,AIID02,CL002,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto",closure,Closure basis,applicable,absent,absent,absent,absent,[],[],[],0,0,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,absent,absent,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,absent,absent,not_recovered,not_recovered,Not recovered,Not recovered,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,25,CL002,not_recovered,not_recovered,retained-documentation recoverability under author-defined rules; not organizational practice,indeterminate_from_retained_bundle
V25R003,AIID03,AIID03,CL003,A Tesla Crashed into and Killed a Road Sweeper on a Highway in China,exposure,Exposure opportunity framework,applicable,absent,absent,absent,absent,[],[],[],0,0,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,absent,absent,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,absent,absent,not_recovered,not_recovered,Not recovered,Not recovered,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,231,CL003,not_recovered,not_recovered,retained-documentation recoverability under author-defined rules; not organizational practice,indeterminate_from_retained_bundle
V25R003,AIID03,AIID03,CL003,A Tesla Crashed into and Killed a Road Sweeper on a Highway in China,follow_up,Follow-up window,applicable,partial,partial,partial,partial,['trace_coverage'],['trace_coverage'],[],1,1,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,partial,partial,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,partial,partial,partial_support,partial_support,Partial support,Partial support,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,231,CL003,partial_support,partial_support,retained-documentation recoverability under author-defined rules; not organizational practice,
V25R003,AIID03,AIID03,CL003,A Tesla Crashed into and Killed a Road Sweeper on a Highway in China,closure,Closure basis,applicable,absent,absent,absent,absent,[],[],[],0,0,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,absent,absent,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,absent,absent,not_recovered,not_recovered,Not recovered,Not recovered,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,231,CL003,not_recovered,not_recovered,retained-documentation recoverability under author-defined rules; not organizational practice,indeterminate_from_retained_bundle
V25R004,AIID04,AIID04,CL004,Self-driving cars in winter,exposure,Exposure opportunity framework,applicable,absent,absent,absent,absent,[],[],[],0,0,,,,,,,,Inherited v3 legacy field retained for one-to-one audit mapping; v4 interpretation uses model-supported support and the v4 strict/minimal-core rules.,absent,absent,absent,strict rule: all field components required for present; minimal-core rule is exploratory sensitivity only,Model-supported support is not externally calibrated and no independent second human coder was used.,absent,absent,not_recovered,not_recovered,Not recovered,Not recovered,Retained-evidence recoverability state; not organizational presence or absence,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,70,CL004,not_recovered,not_recovered,retained-documentation recoverability under author-defined rules; not organizational practice,indeterminate_from_retained_bundle
