item_id,agent_status,agent_note
ITEM_0032,not_recovered,article date present but no exposure anchor stated
ITEM_1354,not_recovered,no unresolved matters stated at disposition
ITEM_1120,not_recovered,no reopening trigger or procedure stated
ITEM_1293,not_recovered,no disposition role; blog investigation
ITEM_0298,not_recovered,policy statement; no monitoring role for this incident
ITEM_1145,not_recovered,nav chrome; no entry rule
ITEM_1165,not_recovered,no reopening content
ITEM_0118,not_recovered,GitHub nav chrome only
ITEM_0874,not_recovered,academic article; no later observation tied to exposure
ITEM_0570,not_recovered,result composition is not coverage of an eligible set
ITEM_0754,supported,Federal Court of Justice later determined the predictions expressed a factual connection
ITEM_1334,not_recovered,no logs or observation channels described
ITEM_0908,not_recovered,no disposition
ITEM_1104,not_recovered,OECD nav chrome only
ITEM_0683,not_recovered,OECD nav chrome only
ITEM_0707,not_recovered,no entry rule stated
ITEM_0905,not_recovered,incident date only; no bounded later-observation interval
ITEM_1107,supported,Federal Court of Justice named as the disposition authority
ITEM_0501,not_recovered,AIID incident date metadata is not a disposition date
ITEM_0120,not_recovered,AIID incident date metadata is not a disposition date
ITEM_0541,not_recovered,nav chrome only
ITEM_0423,not_recovered,policy statement; no later observation
ITEM_0545,not_recovered,internal teams described but no monitoring or disposition role
ITEM_0074,not_recovered,nav chrome only
ITEM_0178,supported,Chicago Police Department named as ending the use
ITEM_1215,not_recovered,nav chrome only
ITEM_0757,not_recovered,OECD nav chrome only
ITEM_0964,not_recovered,incident date only
ITEM_0665,not_recovered,no final disposition scope
ITEM_0155,not_recovered,policy statement; no disposition role
ITEM_0523,not_recovered,nav chrome only
ITEM_0950,not_recovered,subscription and nav chrome; unit not stated
ITEM_0451,not_recovered,no disposition
ITEM_1029,supported,ICO observed Meta pause then resumption and states it will monitor; later observation tied to exposure
ITEM_1225,not_recovered,nav chrome only
ITEM_1012,not_recovered,nav chrome only
ITEM_0941,not_recovered,shutdown described but no disposition scope
ITEM_0928,not_recovered,Google blog nav chrome only
ITEM_0887,not_recovered,OECD nav chrome only
ITEM_0914,not_recovered,article date present; no effective disposition date
ITEM_0568,not_recovered,nav chrome only
ITEM_0080,not_recovered,AIID description only; no evidence basis for a disposition
ITEM_1144,not_recovered,nav chrome only
ITEM_0342,not_recovered,unresolved matters described but no disposition at which they were retained
