record_id,case_id,source_stratum,historical_selection_cohort,title,url_check_status,source_relationship,retained_material_primary_class,fields_with_incident_narrative,manual_adjudication,class_source_excerpt,class_evidence_excerpt_v25,class_reverification_excerpt,class_v29_exposure_excerpt,class_v29_follow_up_excerpt,class_v29_closure_excerpt,recorded_supported_components_of_14,recorded_evidence_excerpt_nonempty_of_14,reading_of_zero,non_recovery_cause_status
V25R001,AIID01,AIID,inherited_v21_v16_baseline,Uber Autonomous Cars Running Red Lights,HTTP_404,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,1,1,n/a,
V25R002,AIID02,AIID,inherited_v21_v16_baseline,Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio R,HTTP_403,registry_derived,incident_narrative,v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,incident_narrative,incident_narrative,incident_narrative,2,2,n/a,
V25R003,AIID03,AIID,inherited_v21_v16_baseline,A Tesla Crashed into and Killed a Road Sweeper on a Highway in China,HTTP_403,registry_derived,incident_narrative,v29_follow_up_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,incident_narrative,non_incident_prose,1,1,n/a,indeterminate_from_retained_bundle
V25R004,AIID04,AIID,inherited_v21_v16_baseline,Self-driving cars in winter,HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,meta_note,chrome_or_metadata_only,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R005,AIID05,AIID,inherited_v21_v16_baseline,Google Waymo Vehicle and Bus Allegedly Collide in California,HTTP_200,registry_derived,incident_narrative,v29_follow_up_excerpt,not_adjudicated,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,incident_narrative,non_incident_prose,2,2,n/a,
V25R006,AIID06,AIID,inherited_v21_v16_baseline,"US Air Force's Patriot Missile Mistakenly Launched at Ally Fighter Jet, Killing Two",HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,non_incident_prose,non_incident_prose,3,3,n/a,indeterminate_from_retained_bundle
V25R007,AIID07,AIID,inherited_v21_v16_baseline,Automated Adult Content Detection Tools Showed Bias against Women Bodies,HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,non_incident_prose,chrome_or_metadata_only,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R008,AIID08,AIID,inherited_v21_v16_baseline,Facial Recognition Researchers Used YouTube Videos of Transgender People without Consent,HTTP_429,registry_derived,incident_narrative,v29_exposure_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,incident_narrative,non_incident_prose,incident_narrative,2,2,n/a,
V25R009,AIID09,AIID,inherited_v21_v16_baseline,Facebook's AI-Supported Moderation Failed to Classify Terrorist Content in East African La,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R010,AIID10,AIID,inherited_v21_v16_baseline,Facebook's Friend Suggestion Feature Recommends Patients of Psychiatrist to Each Other,HTTP_404,registry_derived,incident_narrative,v29_follow_up_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,incident_narrative,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
