record_id,case_id,legacy_case_id,incident_cluster_id,title,field,field_label,component,component_definition,component_status,evidence_field,evidence_excerpt,source_url,source_locator,source_snapshot,source_hash,url_status,source_relationship,source_provenance_status,semantic_rationale,legacy_semantic_confidence,pre_second_adversarial_component_status,second_adversarial_review_action,second_adversarial_review_rationale,prior_positive_evidence_field,prior_positive_evidence_excerpt,applicability,applicability_rationale,review_method,review_date,v2_component_status,legacy_v2_confidence,v3_primary_status,v3_boundary_inclusive_status,analysis_role,v3_handling_reason,v4_primary_status,v4_boundary_status,analysis_label,legacy_confidence_label_definition,v4_review_note,legacy_v4_primary_status,legacy_v4_boundary_status,v5_primary_support_status,v5_boundary_support_status,v5_state_label,v5_evidence_boundary_note,v5_review_method,v5_support_label_definition,v5_evidence_class,inherited_incident_cluster_id,canonical_cluster_id,v6_primary_support_status,v6_boundary_support_status,v6_documentation_label,v6_label_method,v6_validation_boundary,non_recovery_cause_status,non_recovery_observed_metadata
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,exposure,Exposure opportunity framework,unit,The retained text identifies the unit whose opportunity for exposure is counted or described.,supported,v29_exposure_denominator_present_evidence_excerpt,"cites two company employees and internal company documents that reveal that the mapping programs guiding the vehicle in question failed to recognize six traffic lights, which allowed it to roll through a red light last December",SRC-001,v29_exposure_denominator_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,Traffic lights are the stated units the mapping program failed to recognize.,high,supported,retained_supported,The second adversarial pass found the excerpt concordant with the operational definition.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,supported,high,supported,supported,primary_supported_by_retained_evidence,Retained in the primary analysis because the source-located judgment was marked high confidence.,supported,supported,model-supported evidence,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",Source-located semantic support met the fixed primary rule.,supported,supported,model_supported,model_supported,model-supported evidence,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,supported_by_retained_evidence,supported_by_retained_evidence,component label supported by retained evidence under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",,
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,exposure,Exposure opportunity framework,eligibility,"The retained text states an inclusion, exclusion, or qualifying rule for those units.",not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,exposure,Exposure opportunity framework,time_origin,The retained text states the start or anchor from which exposure opportunity is counted; a publication or incident date alone is insufficient.,not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,exposure,Exposure opportunity framework,coverage,"The retained text states the extent of the eligible units covered, such as all units, a numerator/denominator, or a bounded deployment total.",not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,supported,excluded_after_rule_concordance_review,"A count of missed traffic lights is an affected-event count, not the extent of the eligible exposure-opportunity set.",v29_exposure_denominator_present_evidence_excerpt,"The New York Times cites two company employees and internal company documents that reveal that the mapping programs guiding the vehicle in question failed to recognize six traffic lights, which allowed it to roll through a red light last December",applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,follow_up,Follow-up window,calendar_interval,"The retained text states a follow-up start and end, a duration, or a scheduled observation period after the focal event or intervention.",not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,follow_up,Follow-up window,exposure_qualified_observation,The retained text reports observations for units explicitly tied to the exposure or eligibility conditions.,not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,follow_up,Follow-up window,trace_coverage,"The retained text states the observation-channel coverage, including which logs, traces, sensors, reports, or other channels were available, examined, bounded, or explicitly unavailable.",not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,follow_up,Follow-up window,owner,"The retained text assigns responsibility for longitudinal monitoring or follow-up; merely naming a developer, publisher, court, or regulator is insufficient.",not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,closure,Closure basis,scope,"The retained text defines which event, deployment, records, claims, or issues a closure decision covers.",not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
V25R001,AIID01,AIID01,CL001,Uber Autonomous Cars Running Red Lights,closure,Closure basis,evidence_basis,"The retained text identifies evidence used to justify a closure or final disposition, not merely evidence that an event occurred.",not_recovered,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,,SRC-001,source_excerpt; reverification_excerpt; v29_exposure_denominator_present_evidence_excerpt; v29_follow_up_window_present_evidence_excerpt; v29_closure_basis_present_evidence_excerpt,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,HTTP_404,registry_derived,URL_failed_snapshot_retained,"All retained excerpt fields were reviewed semantically. No event-related statement met the operational definition for this component; page navigation, recommended links, advertisements, headers/footers, generic framework text, and unrelated same-word matches were excluded.",high,not_recovered,unchanged_not_recovered,No prior positive suggestion required reversal.,,,applicable,"The retained row describes or is catalogued as an incident, hazard, investigation, deployment, or disposition with a legitimate opportunity for the field; applicability does not imply that the component is recoverable.",AI-assisted semantic re-audit plus a second adversarial rule-concordance pass; changed and low-confidence decisions require author confirmation,2026-09-17,not_recovered,high,not_recovered,not_recovered,not_recovered,No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not recovered,"Model-assigned label based on retained excerpt, source locator, event-relevant semantic rationale, and fixed exclusion rules; not a probability, calibrated confidence, accuracy, or human-validation result.",No component-specific support was recovered under the retained-evidence rule.,not_recovered,not_recovered,not_recovered,not_recovered,not recovered,not calibrated; not a probability or accuracy estimate,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"Model-supported evidence is not a probability, calibrated confidence, accuracy estimate, or human-validation result.",model-supported; not calibrated,8,CL001,not_recovered,not_recovered,component evidence not recovered under the stated rules,AI-assisted semantic audit with author confirmation of changed and low-confidence decisions,"not an accuracy, calibration, model-performance, or independent human-validation result",indeterminate_from_retained_bundle,url_status=HTTP_404; snapshot=retained; provenance=URL_failed_snapshot_retained
