record_id,case_id,legacy_case_id,incident_cluster_id,cluster_row_count,cluster_relation_basis,title,historical_selection_cohort,source_stratum,source_type,selection_reason,source_relationship,source_provenance_status,source_url,source_snapshot,source_hash,source_date,source_access_date,url_check_access_date,url_check_status,exposure_recoverability_state,follow_up_recoverability_state,closure_recoverability_state,inherited_incident_cluster_id,canonical_cluster_id
V25R001,AIID01,AIID01,CL001,1,inherited incident_cluster_id; full relation basis not recoverable,Uber Autonomous Cars Running Red Lights,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-001,aiid_backup_20260720/incidents.csv + reports.csv,41a8c00e9385a954457a170e722f994a67ce234b1fbf48dd1965d324a6f0f0d1,2014-08-15,2026-08-15,2026-08-28,HTTP_404,partial_support,not_recovered,not_recovered,8,CL001
V25R002,AIID02,AIID02,CL002,1,inherited incident_cluster_id; full relation basis not recoverable,"Google and Delphi Self-Driving Prototypes Allegedly Involved in Near-Miss on San Antonio Road, Palo Alto",inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-002,aiid_backup_20260720/incidents.csv + reports.csv,a4499229653466741d04b6e378c1c3468c40e39fc9a995aa154a7e425a9492e3,2015-06-23,2026-08-15,2026-08-28,HTTP_403,partial_support,not_recovered,not_recovered,25,CL002
V25R003,AIID03,AIID03,CL003,1,inherited incident_cluster_id; full relation basis not recoverable,A Tesla Crashed into and Killed a Road Sweeper on a Highway in China,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-003,aiid_backup_20260720/incidents.csv + reports.csv,ee44ba1c97bfbde32eeeeb0d1cf3b3cc5387ad1e84e9da3c177fda33c7086001,2016-01-20,2026-08-15,2026-08-28,HTTP_403,not_recovered,partial_support,not_recovered,231,CL003
V25R004,AIID04,AIID04,CL004,1,inherited incident_cluster_id; full relation basis not recoverable,Self-driving cars in winter,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-004,aiid_backup_20260720/incidents.csv + reports.csv,6dee45f14836b5b8df59201e5cfb79f7c2dd8a1a55d060504a305b0689693fbf,2016-02-10,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,70,CL004
V25R005,AIID05,AIID05,CL005,1,inherited incident_cluster_id; full relation basis not recoverable,Google Waymo Vehicle and Bus Allegedly Collide in California,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-005,aiid_backup_20260720/incidents.csv + reports.csv,0dbd442e16b54ee5f8648dcb96dc60a362cb168e8f76f64ed387a822135b63ab,2016-02-14,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,71,CL005
V25R006,AIID06,AIID06,CL006,1,inherited incident_cluster_id; full relation basis not recoverable,"US Air Force's Patriot Missile Mistakenly Launched at Ally Fighter Jet, Killing Two",inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-006,aiid_backup_20260720/incidents.csv + reports.csv,5bf82a8790d5d292d27392e97c8bd74d5622f492dfc2f586a366d88d01708e0f,2003-03-22,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,partial_support,444,CL006
V25R007,AIID07,AIID07,CL007,1,inherited incident_cluster_id; full relation basis not recoverable,Automated Adult Content Detection Tools Showed Bias against Women Bodies,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-007,aiid_backup_20260720/incidents.csv + reports.csv,ce54525759f815df9426664cb3e83e3ff4599b552327bccc97cfc2eaadd92ffe,2006-02-25,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,469,CL007
V25R008,AIID08,AIID08,CL008,1,inherited incident_cluster_id; full relation basis not recoverable,Facial Recognition Researchers Used YouTube Videos of Transgender People without Consent,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-008,aiid_backup_20260720/incidents.csv + reports.csv,73481ce5c6430b4ae09b7ec575c1c0e9ff82d203e0f1d14f597a7e8e683b35ab,2013-09-13,2026-08-15,2026-08-28,HTTP_429,partial_support,partial_support,not_recovered,409,CL008
V25R009,AIID09,AIID09,CL009,1,inherited incident_cluster_id; full relation basis not recoverable,Facebook's AI-Supported Moderation Failed to Classify Terrorist Content in East African Languages,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-009,aiid_backup_20260720/incidents.csv + reports.csv,d1dd550f21f3ba808886365fc65f77fe7c6d18aeae5a09a1ad33716f4bbf47ee,2015-06-01,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,392,CL009
V25R010,AIID10,AIID10,CL010,1,inherited incident_cluster_id; full relation basis not recoverable,Facebook's Friend Suggestion Feature Recommends Patients of Psychiatrist to Each Other,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-010,aiid_backup_20260720/incidents.csv + reports.csv,776e0624f83f53991b517591c132aa09fb4bed496420f14de02defde3d08b60c,2015-07-15,2026-08-15,2026-08-28,HTTP_404,not_recovered,not_recovered,not_recovered,406,CL010
